SEGIDIDX,SEGID,SUBAREAID,CO_FIPS,AREATYPE,ATYPENAME,LINKS,DIST_1WY,LANES,FT,FTCLASS,CAP1HL,AM_VOL,MD_VOL,PM_VOL,EV_VOL,DY_VOL,DY_LT,DY_MD,DY_HV,FF_SPD,AM_SPD,MD_SPD,PM_SPD,EV_SPD,DY_SPD,D1_LINKS,D1_DIST,D1_LANES,D1_FT,D1_FTCLASS,D1_CAP1HL,D1_AM_VOL,D1_MD_VOL,D1_PM_VOL,D1_EV_VOL,D1_DY_VOL,D1_DY_LT,D1_DY_MD,D1_DY_HV,D1_FF_SPD,D1_AM_SPD,D1_MD_SPD,D1_PM_SPD,D1_EV_SPD,D1_DY_SPD,D2_LINKS,D2_DIST,D2_LANES,D2_FT,D2_FTCLASS,D2_CAP1HL,D2_AM_VOL,D2_MD_VOL,D2_PM_VOL,D2_EV_VOL,D2_DY_VOL,D2_DY_LT,D2_DY_MD,D2_DY_HV,D2_FF_SPD,D2_AM_SPD,D2_MD_SPD,D2_PM_SPD,D2_EV_SPD,D2_DY_SPD
         1,0006_146.9,       1.0,      49.0,       1.0,Rural,        20,     8.820,       2.0,       2.0,Principal Arterial,      1065,     258.0,     456.0,     382.9,     322.0,    1418.9,         0,      48.0,      81.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.820,       1.0,       2.0,Principal Arterial,      1065,     138.8,     231.0,     189.5,     173.1,     732.4,         0,      23.2,      43.9,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.820,       1.0,       2.0,Principal Arterial,      1065,     119.2,     225.0,     193.4,     148.9,     686.5,         0,      24.8,      37.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         2,0006_149.9,       1.0,      49.0,       1.0,Rural,         2,     0.621,       2.0,       2.0,Principal Arterial,      1065,     361.5,     614.9,     547.7,     494.0,    2018.1,     249.3,     223.8,     220.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     154.0,     322.0,     296.1,     271.0,    1043.1,     114.3,     113.0,     110.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     207.5,     292.9,     251.6,     223.0,     975.0,     135.0,     110.8,     110.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         3,0006_150.6,       1.0,      49.0,       1.0,Rural,         8,     1.976,       2.0,       2.0,Principal Arterial,      1065,     399.1,     687.6,     607.5,     556.5,    2250.7,     288.1,     254.5,     235.8,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     177.5,     362.0,     322.4,     300.2,    1162.0,     135.6,     128.0,     118.9,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     221.7,     325.6,     285.1,     256.2,    1088.7,     152.4,     126.5,     116.8,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         4,0006_152.6,       1.0,      49.0,       1.0,Rural,         2,     0.374,       2.0,       3.0,Minor Arterial,       983,     522.0,     913.0,     788.9,     731.0,    2954.9,     386.3,     336.8,     233.0,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     302.0,     492.0,     373.3,     365.0,    1532.3,     191.3,     171.0,     118.0,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     220.0,     421.0,     415.6,     366.0,    1422.6,     195.0,     165.8,     115.0,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0
         5,0006_152.9,       1.0,      49.0,       1.0,Rural,         6,     3.065,       2.0,       2.0,Principal Arterial,      1057,     708.3,    1233.3,    1014.0,    1006.7,    3962.4,     556.7,     461.7,     276.6,      57.7,      57.7,      57.7,      57.6,      57.7,      57.7,         3,     3.065,       1.0,       2.0,Principal Arterial,      1057,     445.2,     659.1,     446.3,     465.5,    2016.1,     275.5,     227.4,     135.3,      57.7,      57.7,      57.7,      57.7,      57.7,      57.7,         3,     3.065,       1.0,       2.0,Principal Arterial,      1057,     263.1,     574.3,     567.7,     541.2,    1946.2,     281.1,     234.3,     141.3,      57.7,      57.7,      57.7,      57.6,      57.7,      57.7
         6,0006_155.9,       1.0,      49.0,       1.0,Rural,         6,     1.385,       2.0,       2.0,Principal Arterial,      1065,     576.9,     975.5,     799.6,     793.7,    3145.7,     461.6,     317.0,     160.9,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1065,     364.5,     518.5,     349.6,     364.0,    1596.7,     231.6,     153.9,      79.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1065,     212.4,     457.0,     450.0,     429.7,    1549.0,     230.0,     163.1,      81.9,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         7,0006_157.3,       1.0,      49.0,       1.0,Rural,         2,     0.231,       2.0,       2.0,Principal Arterial,      1065,     727.5,    1310.1,    1033.8,    1031.0,    4102.4,     572.2,     426.9,     191.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.231,       1.0,       2.0,Principal Arterial,      1065,     464.5,     682.1,     455.5,     479.0,    2081.1,     286.2,     209.1,      95.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.231,       1.0,       2.0,Principal Arterial,      1065,     263.0,     628.0,     578.3,     552.0,    2021.3,     286.0,     217.8,      96.1,      58.0,      58.0,      58.0,      57.9,      58.0,      58.0
         8,0006_157.6,       1.0,      49.0,       1.0,Rural,        10,     0.941,       2.0,       2.0,Principal Arterial,      1060,     778.9,    1412.9,    1113.3,    1111.3,    4416.5,     603.4,     465.5,     219.6,      56.7,      56.7,      56.7,      56.7,      56.7,      56.7,         5,     0.941,       1.0,       2.0,Principal Arterial,      1060,     496.2,     744.3,     496.6,     517.1,    2254.2,     304.0,     233.2,     110.9,      56.7,      56.7,      56.7,      56.7,      56.7,      56.7,         5,     0.941,       1.0,       2.0,Principal Arterial,      1060,     282.8,     668.6,     616.8,     594.2,    2162.3,     299.5,     232.2,     108.7,      56.7,      56.7,      56.7,      56.7,      56.7,      56.7
         9,0006_158.5,       1.0,      49.0,       2.0,Transition,        16,     1.129,       2.0,       2.0,Principal Arterial,      1016,     860.9,    1571.9,    1229.3,    1225.8,    4887.9,     657.3,     504.7,     255.3,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0,         8,     1.129,       1.0,       2.0,Principal Arterial,      1016,     555.1,     817.9,     537.5,     565.6,    2476.1,     328.6,     253.4,     125.3,      48.0,      48.0,      48.0,      48.0,      48.0,      48.0,         8,     1.129,       1.0,       2.0,Principal Arterial,      1016,     305.8,     754.0,     691.8,     660.2,    2411.9,     328.7,     251.4,     130.0,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0
        10,0006_159.6,       1.0,      49.0,       2.0,Transition,         2,     0.228,       2.0,       2.0,Principal Arterial,      1016,    1275.5,    2374.1,    1866.2,    1840.0,    7355.8,    1031.1,     693.0,     284.1,      48.0,      47.9,      47.9,      47.6,      48.0,      47.9,         1,     0.228,       1.0,       2.0,Principal Arterial,      1016,     811.5,    1184.1,     783.6,     846.0,    3625.2,     519.2,     338.0,     131.0,      48.0,      47.8,      47.9,      47.8,      48.0,      47.9,         1,     0.228,       1.0,       2.0,Principal Arterial,      1016,     464.0,    1190.0,    1082.6,     994.0,    3730.6,     511.9,     355.0,     153.1,      48.0,      48.0,      47.9,      47.4,      48.0,      47.8
